Story Number,Descriptor,Date,Press,Country,Category,Column1
330,"Villagers kill 18 elderly witches in Shinyanga region, Tanzania. President Mwinyi tours the region and asks vigilante youth groups to find the killers. District Commissioner Mwapinga suggests relations of victims did killings and village leaders are shielding the killers’ identities.",8/27/87,AP,TAN,1,
341,"Three men were charged with murder in Malindi, Uganda. The men were alleged to have killed a man and used his blood to bless the evil spirit of a witchdoctor.",11/3/89,NV,UGA,1,
344,"Three elderly men accused of using witchcraft to kill 30 others were flogged to death in Ezuku, Uganda. After the oldest man confessed to using witchcraft, he was tortured and then killed. The other men were killed when they returned from hiding.",11/30/89,NV,UGA,1,
351,Ugandan police arrested a woman believed to be a member of a group who kidnaps children. The children are then killed and the organs sold for witchcraft rituals. The woman faces fifteen years in prison if convicted.,9/27/92,AFP,UGA,1,
354,"Commissioner of Police Kilonzo described an incident where 40 youths attacked and burned eight elderly persons on suspicion that they practiced witchcraft in Kisii district, Kenya. The Commissioner called on the general public to come forward and help with the investigations.",1/13/93,BBC,KEN,1,
358,"Nearly fifty people have been murdered for practicing witchcraft in Kenya this year. Most of the killings are concentrated in the Kisii district, one of the most crowded areas in an already overpopulated country. Dr. Maxwell Okonji feels that people search out traditional healers to cure psychological problems. ",7/26/93,AP,KEN,1,
359,"A man who was alleged to have killed three of his villagemates through witchcraft was expelled from Opeta, Uganda. ",8/4/93,TM,UGA,1,
361,"An elderly man was evicted from his village in Kayeka, Uganda, on suspicions of witchcraft and cannibalism. The man was alleged to have eaten parts of his dead mother.",8/24/93,TM,UGA,1,
362,"A municipal employee was arrested for sprinkling charms in the offices of the local treasury department. His brother, a witchdoctor who had provided him with the charms, was also arrested.",8/24/93,TM,UGA,1,
368,"Villagers celebrated the death of a hated witchdoctor's son in Kosozi, Uganda. The witchdoctor was universally reviled and was believed to be a cannibal responsible for the deaths of 10 villagers.",10/5/94,TM,UGA,1,
370,"A man from Bugolo village, Uganda, is on the run after being caught raping his fifteen-year-old daughter. He had been told by a local witchdoctor that he could cure his daughter's mental illness by sleeping with her.",11/28/94,TM,UGA,1,
373,"A woman in Rukungiri, Uganda, was expelled from her village by an angry mob after confessing to the murders of seven villagers. The woman confessed to police that she was a murderer in exchange for not facing death at the hands of the mob. ",2/13/95,TM,UGA,1,
375,"Twenty villagers in Kericho district, Kenya, lynched a 45-year-old woman suspected of practicing witchcraft. The woman was tied, beaten and eventually burned to death.",8/30/95,DPA,KEN,1,
377,"An enraged mob hacked a suspected witchdoctor to death in Mwenge, Uganda, claiming that he bewitched people and then ate them. ",10/13/95,TM,UGA,1,
379,Thirty-one suspected witches killed in villages outside of Mbale. Most of the victims are elderly. Villagers are defying police and will continue the killings until villages in Nanjiya county are cleared of witches.,1/24/96,TM,UGA,1,
384,"Two-hundred-and-sixty elderly people, suspected of being witches, were killed in Mwanza region, Tanzania, in the past five years. The victims were mostly female. This tragedy occurred because of poor medical services and high illiteracy in the region, said Commissioner James Luhanga.",9/30/97,XNA,TAN,1,
386,Many elderly Tanzanian women are killed each year on suspicion of witchcraft. The Minister of Social Development stated that witchcraft is common because of the lack of education in Tanzania.,2/9/98,AAN,TAN,1,
390,"Villagers lynched 10 elderly suspected witches in the city of Bomorenda, in Kisii district, Kenya. The lynchings were conducted by a group called the Witch Hunters in revenge for the abduction of another villager.",9/5/98,RN,KEN,1,
391,"Ten people were lynched in Kisii district, Kenya, as revenge for the abduction of a village teenager. The teenager was abducted and forced to participate in a ritual which involved exhuming a recently buried body.",9/6/98,AFP,KEN,1,
392,Lynchings in Kisii district increased after an 85-year-old confessed witch was released from police custody. The lynchings have claimed the lives of ten people in the district.,9/7/98,UPI,KEN,1,
394,A traditional healer claims that he helped Njoka Mutani win the MP seat from the town of Nithi last year. The healer concocted charms and bewitched bundles of money to assist the legislator.,12/2/98,AAN,KEN,1,
395,"More than 1,000 elderly people have been killed on suspicions of witchcraft during the past four years in several Lake Victoria regions in Tanzania. Ninety percent of the victims were women. Officer Pius Wanzala called on people in the region to abandon their superstitious ideas and stop the indiscriminate killings.",12/21/98,XNA,TAN,1,
398,"As a control on ritual sacrifice, the creation of a Witchcraft Council is proposed, which would certify witches who do not use violence in their rituals and capture and prosecute those who do. The only alternative is to bow to witch-hunt mania in Uganda.",5/5/99,TM,UGA,1,
400,An MP in Kampala wants witchdoctors who are convicted of child murder to be hanged. ,6/2/99,TM,UGA,1,
401,"Three witchdoctors in Kiyanya village, Uganda, narrowly escaped being lynched by an angry mob. The men were accused of killing and mutilating a women a month earlier.",6/3/99,TM,UGA,1,
403,"Six people who were involved in the murder of 50 suspected witches in Manjiya county were sentenced to death by a High Court in Mbale, Uganda.",6/6/99,BBC,UGA,1,
404,"Two people have been seized in Mbeya region, Tanzania, in connection with the murder and skinning of a 13-year-old boy. At an address in Dodoma, the Prime Minister of Tanzania described the illegal trade of human skin as barbaric and shameful and said that the government will fight the skin trade. ",6/22/99,XNA,TAN,1,
408,At least three suspected witches were killed in Uganda by mobs of angry villagers. The killings followed an increase in child disappearances.,8/19/99,DN,UGA,1,
409,"Suspected witches have stolen the skulls of hundred of civil war veterans buried in a mass grave near Kampala, Uganda. ",9/29/99,NV,UGA,1,
410,"An angry mob in Kijjabwemi, Uganda destroyed the house of a suspected witch. The witch was accused of summoning snakes to the village and was ordered to stop practicing witchcraft by a Ugandan court.",11/3/99,TM,UGA,1,
412,"Thirty-four suspected witches have been slain in the Tabora region of Tanzania in 1999. The majority of the victims were elderly women, who were hacked to death by machete-wielding mobs. This week, the head of Tabora administration called for a new education and awareness program to prevent these killings.",11/29/99,PANA,TAN,1,
413,A husband and wife are hacked to death by machete at Dabase village in Malindi for allegedly practicing witchcraft. Their daughter is severely wounded in the attack.,1/14/00,EAS,KEN,1,
414,"A suspected witchdoctor was burned to death in Kawolo, Uganda, on January 30 [2000]. It was alleged that he had killed a worker using witchcraft. Police rescued his wife, who was to be killed for keeping the man's secrets.",2/5/00,TM,UGA,1,
420,A student of Old Kampala School was beheaded by a classmate. The man needed the head for a witchcraft ritual; witches need body parts to concoct various spells for their clients.,11/4/01,SV,UGA,1,
423,"Eight residents of Kahendero fishing village in Kasese district, Uganda, were expelled from their village over accusations of witchcraft. They were charged with bewitching a baby and causing its death.",5/27/02,AAN,UGA,1,
425,"Most Ugandans, even the educated, link pedophilia and witchcraft, and believe that traditional remedies are the appropriate way to heal a victim, instead of psychiatric treatment.",11/16/02,TM,UGA,1,
428,"Traditional healer on trial in Bwaise, Uganda, for raping one of his clients.",12/16/02,TM,UGA,1,
437,"The author argues that the killings in Shinyanga region, Tanzania, will not stop until the Tanzanian government addresses the socio-economic issues that underlie the violence.",12/10/03,DN,TAN,1,
438,"The Tanzanian police force has expressed concern over an alarming rise in the killings of suspected witches in Shinyanga, Tabora and Mwanza districts. The police force has called on the people of the regions to refrain from vigilantism.",12/18/03,DN,TAN,1,
440,"Tanzanian police are investigating the murder of an elderly woman in Shinyanga province, Tanzania. The woman was found headless and without her right hand. Police believe the body parts were taken for a witchcraft ritual.",1/21/04,DN,TAN,1,
443,A Dar es Salaam resident who allegedly kidnapped a 3-year-old boy for witchcraft rituals was sentenced to seven years in jail.,2/13/04,DN,TAN,1,
446,"Members of the Mungiki sect protested Matatu businesses, blocking traffic. The group was protesting low wages and police harassment.",5/24/04,DN,KEN,1,
447,"A mungiki oath-taker has been arrested for murder of a 13-year-old girl in Njoro, Kenya. The arrest comes amid revelations that the outlawed sect is regrouping in Kenya.",9/16/04,EAS,KEN,1,
448,"The local governor of Nyamira, Kenya, escaped lynching by a mob on accusations of witchcraft. He states that the accusations are baseless and aimed at tarnishing his reputation following the lynching of another woman.",11/18/04,DN,KEN,1,
454,"A mob lynched a woman in Machakos, Kenya. Beaten for allegedly bewitching six students, she died in the hospital. Her family continued to receive threats, and moved to Migwani for their security.",2/28/05,DN,KEN,1,
460,"Hundreds of Magongo residents attempted to storm a police station to lynch the witchcraft suspects inside. The suspects, a woman and three men, where charged with the murder and mutilation of two baby girls.",6/21/05,TS,KEN,1,
462,"In Kyenjojo district, Uganda, a group of residents killed Benon Kabagambe, who had been accused of cannibalism and robbing.",6/15/07,MON,UGA,1,
463,"A man was killed with machetes by villagers of Nakatoogo village, Rakai district, Uganda. He had been suspected of witchcraft. No suspects were arrested.",11/7/07,New Vision,UGA,1,
465,"An 8-year-old girl was murdered in Omoro County, Gulu district, Uganda. Residents suspected the child was killed to perform rituals and an old woman suspected to be a witch was arrested to help with investigations. Child sacrifice.",2/26/07,MON,UGA,1,
466,A 40-year old woman who was a Bushenyi teacher was beaten to death by a group of residents over suspicion of witchcraft. Thirteen people were arrested. Officials suggest increase in mob justice was due to growing mistrust between government and villagers. ,10/21/07,New Vision,UGA,1,
468,"A man and woman survived being lynched by a mob over allegations that they attempted to murder an 87-year old woman in Lauibi division, Gulu municipality.",3/4/07,New Vision,UGA,1,
469,A woman accused of practicing witchcraft was murdered by an angry mob in Karusandara sub-county.,1/17/07,New Vision,UGA,1,
471,"A family of 27 was attacked and left homeless by a mob for allegedly trying to use witchcraft to hurt their neighbors in Muwangi village, Buwenge sub-county in Jinja. ",3/19/07,MON,UGA,1,
472,"Two women were murdered in Bukonde village, Kapyanga sub-county, Bugiri District, Uganda. They were kidnapped from their house and dragged into the nearby forest where their mutilated body parts were buried.",7/1/07,MON,UGA,1,
473,"Tries to explain why and how villagers of Mfang'ano Island in Mbita, Suba district, Nairobi blame witches for the disappearance of individuals and how villages prove witches to be accountable. One example is the death of two children after a witch quarreled with their parents.",2/24/07,TS,KEN,1,
476,"An alleged witchcraft practitioner was killed for keeping 5,000 women's ID cards under his bed in Akirang'ondu area of Meru North District, Kenya. Cards were believed to make women vulnerable to witchcraft practices.",5/14/07,TS,KEN,1,
481,"A 46-year old man was suspected of using witchcraft and murdered in Miwani village, Kikambala Division, Kilifi District, Kenya. The area has had a dramatic increase in deaths due to accusations involving witchcraft and family rivalries. ",1/10/07,DN,KEN,1,
482,"A grandfather was murdered due to suspected witchcraft in Malindi District, Kenya, for allegedly bewitching his 7-year-old grandson who died the day before. Two days previously, an 80-year-old man was murdered on his farm at Bathe Village in Dagamra in the same division on suspicion of practicing witchcraft. ",12/7/07,DN,KEN,1,
484,"Eleven elderly people, eight women and three men between the ages of 80 and 96, were accused of being witches and burned to death by a western Kenya mob. ",5/21/08,BBC,KEN,1,
485,"A Kenyan man with albinism, who is a student at Nairobi University and works for the Association for the Physically Disabled of Kenya, was attacked in Nairobi's Pumwani area, Kenya, four times by people he suspected to be agents of Tanzanian witchdoctors. The witchdoctor cartel in Tanzania murders albinos to use and sell their body parts for magical concoctions. ",12/31/08,TS,KEN,1,
486,"Three hundred young men burned eleven elders to death (eight women and three men) because they were suspected of being witches and wizards in Kekoro and Matembe Villages, Nairobi, Kenya. Villages complained that the supposed witches and wizards were making their children dumb.",5/21/08,MSNBC,KEN,1,
492,"Witchcraft pervaded an Embu village, Nairobi, Kenya, where at least seven people committed suicide under circumstances associated with sorcery. Fear drastically reduced theft in the area when thieves who stole cattle, chickens, and food returned the items. ",2/26/08,DN,KEN,1,
493,"A killer gang believe to be members of the Sungusungu vigilante group murdered 15 people, mostly women, of Gusil land, Nairobi, Kenya, for ostensibly practicing witchcraft. The mob continued lynching and burning down houses, accusing witches of using their supernatural powers to kill and make the children in the village perform poorly in school.",5/26/08,DN,KEN,1,
494,"Four or five elderly women are killed each month in events connected with witchcraft-associated beliefs in Shinyanga Region, Tanzania. Two women were killed for the death of a seven-year-old boy who was bit by a black mamba while sleeping. Rumors spread that the women used the boy's ghost to work their farms. ",10/18/08,TC,TAN,1,
495,"Two women were lynched in Nyamira North District, Nairobi, Kenya, by a mob who accused them of practicing witchcraft. ",11/13/09,DN,KEN,1,
498,"Three women were burned to death on suspicion of witchcraft murder in Kapkanyar village in Pokit Central, Rift Valley province, Uganda. Villagers of Kabisoge, of the Bomet Central Division, torched houses belonging to witches. ",3/27/09,DN,KEN,1,
499,Two women were lynched by villagers of Kiagiraa and Eronge in Nyamira North District in western Kenya after being accused of practicing witchcraft. The mob slashed them with machetes before setting them on fire.,8/13/09,DN,KEN,1,
500,"Residents of Serinnya village, Kyannamukaaka sub-county in Masaka district, Uganda, expelled their sub-county councilor and her family from the village for allegations of witchcraft. She was accused of destroying her own property and causing demons to attack a local chairperson. She was also blamed for being a source of insecurity. ",2/6/09,New Vision,UGA,1,
501,Residents of Mubende and Mityana district attacked two families after accusing them of practicing witchcraft and terrorizing the village.,10/7/09,New Vision,UGA,1,
503,"Thirteen people were murdered and six were injured in suspected witchcraft and poisoning cases in Pakoyi village, Peta sub-county in West Budama North, Uganda. ",7/19/09,MON,UGA,1,
504,"A 74-year-old woman survived armed youths raiding and burning her house following an allegation that her name was found in a book on the side of the road belonging to the ""Executive Committee of Witches and Sorcerers"" in the Manga District, Kisii County, Kenya. Nineteen people were arrested. ",8/10/09,DN,KEN,1,
505,"Residents of Kijjomanyl village in Kalungu sub-county, Masak district, attacked a man accused of killing 15 of his enemies just by pointing at them.",11/12/09,New Vision,UGA,1,
506,"A 20-year-old man was arrested in Kyaterekera trading center in Mpeefu sub-county in Kibaale district, Uganda, for opening up a grave to exhume the body of an unknown person for a ritual intended to make him a successful musician. ",4/13/09,New Vision,UGA,1,
507,"Mbale police were hunting for assailants who beheaded a 67-year-old man, a traditional healer, in Marare village, Bungokho sub-county, Uganda. Villagers accused him of casting bad omens on his relatives.",11/11/09,MON,UGA,1,
508,"A woman was lynched for bewitching a young girl who reportedly became mentally ill, Zombo district, Uganda. The girl's father led the attack.",2/14/10,New Vision,UGA,1,
512,Two elderly men were killed in Malindi and Magarini districts for practicing witchcraft.,6/2/10,DN,KEN,1,
513,"Sungusungu gangsters killed a 60-year-old pastor and 56- and 60-year-old women in Nyamira. A 67-year-old woman was killed in Nyaguku, Manga district, Kenya.",12/23/10,DN,KEN,1,
516,Mwansa Police reported 111 of the 722 murder victims from witchcraft were mostly elderly women and albinos. Robbery and rape incidents declined while burglary remained the same since 2008.,1/2/10,TC,TAN,1,
518,"A reporter commented on the increasing number of witchcraft-related violent acts against children, specifically albino children, and elderly people, specifically women, in Botswana, Cameroon, Ghana, Namibia, and Tanzania. The article indicates that a majority of witchcraft accusations target boys.",7/26/10,EA,TAN,1,
519,"Police investigated an incident where an albino man was left injured after a man chopped off his hand. Clashes between farmers and pastoralists in Kibaoni, Mvomero district, were suspected reasons for the attack.",4/13/10,TC,TAN,1,
520,"A man was lynched after being accused of using his son to perform witchcraft and kill people. He was one of many elderly men and women victimized by mob killings in the Lango sub-region. Police are blaming the violence on ignorance, primitive beliefs, and land disputes.",10/27/10,New Vision,UGA,1,
2,"An African physician's jail sentence was reduced to a fine for failure to control use of poisons in his possession; the judge cites extensive, profitable black market in poisons, many used in witchcraft-based violence.",5/15/60,UA,UGA,2,N = 91
4,"On an island in Lake Buyani, Uganda, a leper colony now thrives. The island was once controlled by witchdoctors who terrorized the people of the region.",8/2/60,UA,UGA,2,
19,Male traditional healer near Dar es Salaam reported practicing mass healing by administering spoonfuls of medicine to crowd and dancing before them.,8/17/62,TS,TAN,2,
28,"Man jailed in Masaka, Uganda, for claiming to be a ""doctor"" qualified to practice medicine and for the possession of poisonous drugs.",2/26/63,UA,UGA,2,
29,"Uganda Health Minister asks those with knowledge of traditional herbs, drugs and other methods of treating diseases to help new investigations in ""native medicine.""",3/13/63,NULL,UGA,2,
31,"In Bukoba, Tanzania, a 64-year-old man is sentenced to imprisonment for one year for manslaughter in accidental death of woman he treated as medical practitioner.",7/1/63,TS,TAN,2,
36,"Kenyan Luo dockworkers in Mombasa form ""Luo Antimagics and Witch Doctors Associations"" to combat ""magic and witch practicing"" in their own migrant worker community. Registration of healers, fixed fees and other rates are requested.",10/2/63,SN,KEN,2,
37,"Local authorities in Mwanza, Tanzania, investigate report that local herbalist resurrected two people from the dead; no bodies found.",10/22/63,EAS,TAN,2,
64,Kenya newspaper reports 6000 traditional medical practitioners are estimated to be practicing in the country.,11/20/64,DN,KEN,2,
109,"Kenya witchdoctor arrested by village headman and ordered to publicly burn his paraphernalia. As police guard, he laments that his witchdoctor father had cast a spell that his son should carry on the witchcraft in the family.",8/22/69,DN,KEN,2,
124,Mombasa police hold Kajiwe for questioning as a result of his recent activities aimed at eliminating witchcraft in the area. Numerous people reported to be coming by buses and trucks to see Kajiwe.,11/3/70,DN,KEN,2,
127,"National tragedy proclaimed by Tanzanian Vice President at death of 93 children in mass circumcision and traditional tooth extraction involving 9216 children. Over 600 ""traditional"" doctors took part in Singida District.",1/22/71,TS,TAN,2,
130,"In general article on witchcraft, press reports ""witchdoctor"" consulting firms flourishing in Nairobi.",3/14/71,SN,KEN,2,
133,"Traditional healers, allowed to treat a 5-year-old boy at the national hospital in Dar es Salaam, ""baffled modern doctors."" The boy, ailing with an extremely swollen eye, was treated by a ""panel"" comprised of members of National Herbalists Society; the society panels were later banned. ",6/2/71,TS,TAN,2,
134,Tanzanian Traditional Healers Cooperative Society (UWATA) reported working in conjunction with an adult education center to be opened near Dar es Salaam.,6/8/71,TS,TAN,2,
135,"In Dar es Salaam, a well-known herbalist and astrologer congratulates Ministry of Health for allowing local herbs to be used in hospitals. He stated it was significant because western doctors fail to cure some diseases.",6/24/71,TT,TAN,2,
137,Pregnant women in Bungoma urged to abandon belief in visiting witchdoctors for childbirth. Encouraged to seek advice of trained doctors and nurses instead.,10/8/71,DN,KEN,2,
138,Man jailed in Mombasa for possessing charms and articles to be used in witchcraft.,10/8/71,DN,KEN,2,
